1	3	5
116	117	3
134	134	15
38	38	15
97	97	7
58	58	8
102	102	6
134	135	14
62	63	10
139	139	10
12	13	6
103	104	7
71	72	3
55	67	6
142	142	23
27	27	23
21	21	5
11	11	6
29	29	8
65	66	10
80	81	5
2	2	3
74	74	4
133	142	2
61	62	1
33	33	10
35	43	4
69	70	6
75	75	16
67	68	3
118	118	11
107	108	8
101	101	8
12	12	17
53	55	2
17	18	4
80	132	3
73	73	18
136	136	18
101	103	8
129	130	4
20	22	4
39	39	3
19	20	3
53	54	3
32	32	8
121	132	6
137	137	7
24	88	3
116	116	24
25	25	8
4	5	4
135	135	12
126	128	8
109	109	12
30	30	9
132	132	8
130	130	22
49	118	3
97	98	17
15	15	13
120	131	7
144	144	12
85	85	12
133	134	2
49	49	17
20	20	19
125	125	7
31	32	7
99	99	13
94	94	14
82	82	8
42	43	2
110	110	7
60	60	18
10	15	4
128	129	10
141	142	16
76	76	5
38	39	3
59	59	6
123	123	4
50	67	1
139	140	7
46	47	7
75	76	4
110	121	1
140	140	29
141	141	22
5	99	2
107	107	12
24	24	13
56	65	8
71	71	13
98	103	4
100	100	17
89	96	5
42	42	4
67	131	2
84	85	3
57	57	20
57	132	2
64	64	16
30	32	6
76	77	8
145	145	6
121	131	5
2	3	1
114	116	3
36	36	3
135	140	5
108	108	12
113	113	16
96	96	8
37	37	10
47	96	2
1	1	16
6	101	4
61	61	23
31	31	19
143	143	9
22	23	3
78	78	2
52	52	15
99	101	7
62	62	5
68	69	3
104	104	3
70	70	6
10	10	16
52	53	6
118	119	6
23	24	4
86	87	4
92	92	7
17	17	14
83	108	2
124	125	6
86	86	10
129	129	20
121	121	12
114	114	8
18	18	2
55	55	10
54	55	8
5	40	4
96	99	5
66	69	4
40	42	3
114	118	4
66	71	7
105	107	2
65	70	4
8	97	8
65	131	2
18	19	7
134	136	7
68	68	5
79	79	9
93	99	3
110	111	4
58	70	3
105	105	12
99	103	5
23	23	13
124	124	9
140	141	4
103	103	9
50	52	1
6	12	4
51	51	6
40	40	16
126	126	15
67	74	6
64	66	3
131	132	2
33	34	5
22	101	1
52	67	7
91	95	4
50	66	1
72	72	4
88	88	15
28	29	5
95	95	20
91	91	7
64	78	4
94	95	7
128	128	6
70	71	8
113	116	2
38	98	1
88	89	16
0	124	3
73	113	4
36	96	2
96	97	1
83	83	4
55	80	1
5	6	3
37	38	2
16	17	4
109	126	3
89	89	6
92	93	2
112	137	2
100	104	3
84	84	4
116	118	2
65	65	7
112	114	11
117	117	8
50	54	1
39	87	3
56	79	5
26	31	6
33	36	2
106	106	7
6	95	3
133	139	5
119	119	3
4	4	1
20	21	4
138	138	9
24	31	1
138	143	1
133	133	17
83	84	5
77	79	1
26	26	14
77	77	11
97	107	5
116	144	3
50	87	2
131	131	6
72	127	4
8	98	1
78	79	7
112	139	1
10	27	4
16	134	1
87	91	3
82	84	3
80	136	2
0	0	3
34	36	4
67	69	5
56	56	7
26	103	3
127	127	9
126	127	1
66	72	1
120	121	5
22	102	7
32	33	3
120	120	2
41	41	8
10	11	4
115	115	7
117	118	5
39	42	5
63	63	5
138	140	3
123	129	2
16	16	5
58	60	3
143	144	2
0	1	9
41	42	3
81	81	2
8	8	10
146	146	8
117	144	1
122	122	7
114	142	3
97	99	2
98	98	2
145	146	3
135	142	3
47	47	12
99	102	2
57	78	5
40	41	7
112	112	6
22	24	2
54	76	2
16	135	4
56	57	3
67	67	4
22	22	5
67	70	1
6	6	8
60	61	4
81	82	3
59	60	9
102	103	3
137	140	2
69	69	1
43	43	3
88	90	1
54	54	13
89	90	3
35	35	2
54	69	3
21	22	3
25	26	1
53	60	1
142	143	10
19	19	2
121	122	5
15	17	1
18	119	4
0	2	3
12	80	3
92	96	1
50	50	5
49	86	2
102	107	4
73	133	2
75	132	2
52	68	3
66	66	6
122	125	1
10	108	3
24	25	4
73	74	1
64	65	4
33	35	1
111	128	1
111	130	3
50	51	2
34	34	3
133	138	2
110	127	4
73	118	3
73	114	1
23	42	1
137	142	4
37	87	2
56	132	4
82	83	3
23	28	2
106	123	2
48	48	2
8	9	1
123	130	1
27	28	3
53	69	1
95	97	3
88	104	1
87	87	3
5	41	1
74	75	3
58	79	7
9	11	2
112	115	5
49	50	2
5	5	2
29	30	2
93	93	9
3	5	4
81	89	3
54	60	3
9	9	8
127	129	4
54	71	1
37	83	1
80	102	2
123	124	1
36	37	2
42	87	6
53	53	1
108	109	1
66	68	3
55	79	1
64	89	2
91	96	1
52	133	2
115	116	2
110	135	2
138	144	1
53	68	2
11	97	1
58	59	1
50	131	1
17	141	2
33	37	2
77	78	2
25	28	2
38	42	2
48	120	1
131	143	1
111	111	2
3	100	2
139	141	2
13	13	1
87	104	2
15	16	3
63	74	2
87	88	1
135	141	1
3	21	2
141	144	1
123	131	1
83	85	2
93	104	2
0	122	1
11	136	1
55	72	1
119	128	1
99	107	1
16	19	1
57	80	1
98	99	1
90	90	1
28	28	1
1	6	1
112	131	1
92	95	1
29	61	1
19	48	1
139	145	1
112	130	1
123	125	1
91	92	1
17	118	1
82	91	1
137	145	1
