0	1	2
89	89	3
97	97	2
126	156	1
128	147	1
67	67	3
109	129	1
84	142	2
28	28	4
124	124	4
23	23	4
91	94	3
139	175	1
171	171	5
115	118	1
99	100	3
118	118	3
4	4	1
113	113	3
108	108	7
12	12	1
146	146	5
79	80	6
29	31	2
35	35	1
134	137	4
25	25	3
118	158	1
32	32	5
104	105	1
76	76	3
142	146	1
142	147	1
112	128	1
168	169	2
30	30	4
138	138	4
114	114	1
143	143	3
165	175	2
15	15	5
118	120	1
37	37	5
82	127	3
88	88	1
96	97	2
157	157	2
30	31	1
62	63	3
84	147	1
158	159	2
92	92	2
116	117	4
93	93	4
8	8	3
43	71	1
128	128	1
103	103	4
161	161	2
142	142	2
94	94	1
58	152	3
159	159	5
93	94	3
177	178	1
167	167	1
176	176	2
82	128	1
52	52	1
117	117	1
134	134	2
43	62	1
110	110	2
56	56	4
107	108	1
38	38	2
105	106	1
136	136	2
88	89	1
162	163	1
5	6	2
126	126	3
49	50	2
85	85	2
127	127	5
13	41	3
10	73	1
112	139	2
149	149	1
148	149	1
91	91	3
98	98	2
90	96	2
19	41	2
42	68	1
145	145	2
81	126	1
89	95	2
1	1	3
123	124	1
116	138	1
60	60	1
169	169	4
123	157	2
122	122	3
165	165	3
129	144	1
50	50	1
148	148	2
168	168	3
111	111	1
28	29	4
94	95	1
139	139	3
130	164	1
20	21	1
87	141	1
108	131	1
9	9	3
22	23	1
170	171	1
77	78	1
112	112	2
86	86	1
66	66	1
90	91	2
52	53	1
121	122	2
163	163	1
40	40	2
155	155	1
131	131	4
90	90	1
25	28	1
116	116	1
178	178	1
58	59	1
130	130	2
73	73	2
71	71	2
64	64	2
15	16	2
147	147	2
60	154	1
103	104	1
100	101	1
83	83	1
43	43	1
139	140	2
143	144	1
13	14	1
44	44	1
153	153	1
106	106	1
62	64	2
133	137	1
125	155	1
126	141	1
133	133	1
36	36	1
77	138	1
49	49	2
126	127	2
150	150	2
50	51	1
104	104	1
168	176	1
1	6	1
17	40	1
42	73	1
151	153	1
173	174	1
156	157	1
86	87	1
83	84	1
89	90	1
117	118	2
168	174	1
110	159	1
105	133	1
135	135	1
123	123	1
177	177	2
95	95	1
109	110	2
106	107	1
20	41	1
140	140	2
172	172	2
79	79	1
102	102	2
158	158	1
124	125	1
40	41	1
24	42	2
144	145	1
130	131	2
87	87	3
105	105	2
141	141	1
128	129	1
136	137	1
121	157	1
41	42	1
108	132	1
92	94	2
119	119	1
80	80	1
137	137	3
16	17	2
113	114	1
129	129	2
152	153	1
78	78	1
80	126	1
167	171	1
52	61	1
17	18	2
63	63	1
166	167	1
39	40	1
99	107	1
171	172	1
109	109	1
101	101	1
33	33	1
114	157	1
43	74	1
150	151	1
118	121	1
96	155	1
86	101	1
19	20	1
87	88	1
34	34	1
157	158	1
81	82	1
