0	1	2
5	5	9
117	118	4
107	107	7
42	43	3
2	2	10
161	162	5
38	40	1
162	163	2
68	68	7
110	110	5
113	116	3
13	14	5
23	52	3
128	128	16
84	90	4
63	111	6
54	56	2
45	45	10
144	145	2
94	95	3
56	56	3
136	137	2
115	116	1
102	162	5
91	91	7
87	87	1
22	23	4
145	146	1
148	167	4
48	48	6
47	47	6
69	69	4
50	50	1
141	141	3
116	125	2
14	15	5
5	10	2
108	108	1
97	97	3
105	105	5
165	165	8
164	164	8
132	132	6
67	117	3
41	41	3
10	10	2
125	134	5
168	168	4
83	101	5
55	55	2
83	84	3
94	166	5
17	17	5
11	11	3
3	4	2
7	7	8
144	144	2
108	112	5
34	35	6
27	27	8
159	159	5
44	44	3
115	115	3
40	40	5
73	73	2
70	70	10
137	137	2
52	52	8
101	101	5
26	26	2
112	112	1
134	134	6
36	42	1
78	78	3
21	22	1
39	39	5
87	88	3
11	53	5
126	135	1
65	65	3
1	4	2
51	51	6
97	140	4
114	114	6
158	159	1
35	35	1
130	130	2
84	84	5
90	90	2
91	99	2
88	88	7
93	94	3
42	42	3
74	75	4
22	49	2
66	66	2
81	81	3
6	6	5
25	25	2
83	83	3
104	104	1
152	152	3
140	140	1
74	74	1
88	89	1
54	54	2
153	153	2
50	81	2
65	113	3
117	117	4
102	102	1
118	118	3
111	111	6
20	20	1
113	114	3
87	100	1
49	49	4
85	85	4
147	147	2
98	98	3
116	116	3
162	162	4
53	53	1
46	46	1
106	106	1
169	169	2
22	24	1
129	129	1
112	115	3
99	113	2
150	150	3
129	145	2
131	131	2
76	76	2
121	121	2
66	67	1
37	37	2
126	126	2
65	68	1
15	15	2
69	70	2
53	73	1
111	117	4
129	131	1
19	19	2
95	95	2
106	109	2
2	4	1
18	22	1
166	166	4
149	150	1
161	161	3
122	122	6
125	125	2
18	18	3
10	48	2
14	14	1
10	51	2
134	135	2
106	114	1
113	113	4
170	170	1
33	33	1
22	22	2
24	51	1
20	21	1
125	135	1
168	169	1
140	146	1
146	148	2
17	51	1
82	82	1
80	80	1
64	119	1
158	158	1
9	9	1
151	151	2
46	84	1
100	102	1
33	36	1
66	117	1
13	25	1
115	156	1
99	99	2
139	141	1
89	89	1
39	40	1
16	16	1
114	122	1
34	34	1
75	75	1
124	124	1
146	146	1
